Baseline_data_(from_ENTSO-E_max_values),Assumption,Baseline_+_Assumption,Commentaries,source
600.0,1.0,600.0,,https://www.admie.gr/en/node/87500?amp=
1400.0,1.0,1400.0,"800MWbuiltin2025,correspondingtoprojectsunderconstructionandexpectedtobecomeeffectiveby2025",
1400.0,1.0,1400.0,,
1400.0,1.0,1400.0,,
2400.0,1.0,2400.0,"1000MWbuiltin2040,additionalto2025capacities",
2400.0,1.0,2400.0,,
2400.0,1.0,2400.0,,
2400.0,1.0,2400.0,,
400.0,1.0,400.0,,https://transparency.entsoe.eu/transmission-domain/physicalFlow/show?name=&defaultValue=false&viewType=TABLE&areaType=BORDER_BZN&atch=false&dateTime.dateTime=29.12.2021+00:00|CET|DAY&border.values=CTY|10YMK-MEPSO----8!BZN_BZN|10YMK-MEPSO----8_BZN_BZN|10YCA-BULGARIA-R&dateTime.timezone=CET_CEST&dateTime.timezone_input=CET+(UTC+1)+/+CEST+(UTC+2)
400.0,1.0,400.0,,
400.0,1.0,400.0,,
400.0,1.0,400.0,,
400.0,1.0,400.0,,MaximumcapacityexpansionfromENTSO-E(+1500MW)from2020
400.0,1.0,400.0,,
400.0,1.0,400.0,,
400.0,1.0,400.0,,
300.0,1.0,300.0,,
900.0,1.0,900.0,"600MWbuiltin2025,correspondingtoprojectsunderconstructionandexpectedtobecomeeffectiveby2025",
1900.0,1.0,1900.0,"1000MWbuiltin2030,additionalto2025capacities",
1900.0,1.0,1900.0,,
3400.0,1.0,3400.0,"1500MWbuiltin2040,additionalto2025capacities",
3400.0,1.0,3400.0,,
3400.0,1.0,3400.0,,
3400.0,1.0,3400.0,,
500.0,1.0,500.0,,https://transparency.entsoe.eu/transmission-domain/ntcYear/show?name=&defaultValue=false&viewType=TABLE&areaType=BORDER_BZN&atch=false&dateTime.dateTime=01.01.2022+00:00|UTC|YEAR&border.values=CTY|10YCS-SERBIATSOV!BZN_BZN|10YCS-SERBIATSOV_BZN_BZN|10YCA-BULGARIA-R&direction.values=Export&direction.values=Import
