time,hour,dayofweek,month,East,North,West
2015-12-04 10:00:00,10,4,12,0.5576199589347446,0.3411764705882353,0.6141819524806106
2015-12-04 11:00:00,11,4,12,0.5573357280800032,0.3358288770053476,0.579958143543026
2015-12-04 12:00:00,12,4,12,0.5557236334468223,0.3201426024955437,0.5443801551151053
2015-12-04 13:00:00,13,4,12,0.5532928493271315,0.32941176470588235,0.5133571340637696
2015-12-04 14:00:00,14,4,12,0.551904826257351,0.3793226381461676,0.5128647051581928
2015-12-04 15:00:00,15,4,12,0.5515429986355176,0.3850267379679144,0.5500430875292379
2015-12-04 16:00:00,16,4,12,0.5529048654916714,0.3950089126559715,0.5893142927489844
2015-12-04 17:00:00,17,4,12,0.5522474726558584,0.4306595365418895,0.6459436168903114
2015-12-04 18:00:00,18,4,12,0.5536956550169798,0.4663101604278075,0.6699495260371784
2015-12-04 19:00:00,19,4,12,0.5568370162735243,0.4909090909090909,0.6847223932044811
2015-12-04 20:00:00,20,4,12,0.5600638211612488,0.4477718360071301,0.6992490459189954
2015-12-04 21:00:00,21,4,12,0.5611789477355259,0.3729055258467023,0.6617013418687677
2015-12-04 22:00:00,22,4,12,0.562984598349543,0.26809269162210336,0.6336328942508925
2015-12-04 23:00:00,23,4,12,0.5647335771673693,0.2474153297682709,0.5882063277114367
2015-04-13 00:00:00,0,0,4,0.5685837718131923,0.24171122994652405,0.5443801551151053
2015-04-13 01:00:00,1,0,4,0.5702542819901392,0.23885918003565065,0.5175427797611721
2015-04-13 02:00:00,2,0,4,0.5675427545108571,0.2360071301247772,0.5128647051581928
2015-04-13 03:00:00,3,0,4,0.5694661080861935,0.2320855614973262,0.5373630432106364
2015-04-13 04:00:00,4,0,4,0.5677685698218327,0.2499108734402852,0.6005170503508556
2015-04-13 05:00:00,5,0,4,0.5655714478772054,0.27736185383244205,0.6738889572817924
2015-04-13 06:00:00,6,0,4,0.5626951362520761,0.4199643493761141,0.7268250646312938
2015-04-13 07:00:00,7,0,4,0.5616471439594405,0.4966131907308378,0.7397513234026838
2015-04-13 08:00:00,8,0,4,0.5604526768704963,0.4559714795008913,0.712544626369568
2015-04-13 09:00:00,9,0,4,0.5589382321015209,0.403921568627451,0.7024498338052444
2015-04-13 10:00:00,10,0,4,0.5619322466879695,0.3590017825311943,0.6922319340145267
2015-04-13 11:00:00,11,0,4,0.5582119612364914,0.3201426024955437,0.6682260248676597
2015-04-13 12:00:00,12,0,4,0.5563043013893311,0.25347593582887695,0.6500061553613197
2015-04-13 13:00:00,13,0,4,0.5547802660086926,0.22388591800356505,0.637203003816324
2015-04-13 14:00:00,14,0,4,0.5548072940961067,0.2481283422459893,0.6267388895728179
2015-04-13 15:00:00,15,0,4,0.5579905052944536,0.2784313725490196,0.6504985842668964
2015-04-13 16:00:00,16,0,4,0.5569041505551656,0.3518716577540107,0.7172227009725469
2015-04-13 17:00:00,17,0,4,0.5548029347271689,0.3518716577540107,0.758832943493783
2015-04-13 18:00:00,18,0,4,0.5553373933589374,0.4163992869875223,0.7601871229841192
2015-04-13 19:00:00,19,0,4,0.5580864114110842,0.4131907308377897,0.7721285239443555
2015-04-13 20:00:00,20,0,4,0.5611719727452255,0.32620320855614976,0.7436907546472978
