AT,BE,CZ,DE,DK,EE,ES,FI,FR,GB,HU,IE,LT,SE,NO1,NO2,NO3,NO4,NO5,PL,PT,RO,SI,SK,LV,CH,IT,MK,RS,BG,NL,time,hour,dayofweek,month,GR,HR,LU
0.276724559,0.898654331,0.377658819,0.391199306,0.564,0.660377358,0.5205,0.379370763,0.457712668,0.348663102,0.643372904,0.852145881,0.660869565,0.515404053,0.482797473,0.547052004,0.12151029,0.291828245,0.295595432,0.588720697,0.25781863,0.362297921,0.443910893,0.347269354,0.227445034,0.241311903,0.269606675,0.188214371,0.631147541,0.376021798,0.564,01/01/2015 12:00,12,3,1,0.188214371,0.443910893,0.898654331
0.276073952,0.905803196,0.376048131,0.390082436,0.562,0.660377358,0.514,0.375618953,0.42878247,0.404991087,0.644963897,0.857582756,0.530434783,0.516968723,0.483952931,0.547052004,0.121243454,0.298737926,0.301011419,0.604233088,0.204835033,0.389145497,0.447028299,0.348663276,0.225170584,0.236859253,0.287127533,0.283710335,0.601946721,0.365122616,0.562,01/01/2015 13:00,13,3,1,0.283710335,0.447028299,0.905803196
0.27650769,0.903700589,0.350419252,0.389161737,0.568,0.660377358,0.5115,0.380292527,0.4207805,0.475935829,0.644841513,0.842041955,0.543826087,0.512814398,0.479325351,0.546319836,0.120943264,0.284989071,0.304404568,0.593650368,0.183686433,0.376732102,0.511399832,0.34599079,0.3358605,0.238987837,0.325506555,0.259471665,0.544057377,0.373297003,0.568,01/01/2015 14:00,14,3,1,0.259471665,0.511399832,0.903700589
0.298321074,0.891295206,0.32848548,0.388042251,0.568,0.660377358,0.516,0.388550316,0.415856211,0.435650624,0.643617672,0.81543495,0.757565217,0.512358385,0.478123904,0.546197808,0.120843201,0.285130085,0.311386623,0.610931011,0.123977133,0.429561201,0.481106776,0.341088029,0.435178165,0.270742832,0.440524434,0.314463272,0.682889344,0.367847411,0.568,01/01/2015 15:00,15,3,1,0.314463272,0.481106776,0.891295206
0.319718793,0.885828427,0.312662845,0.38800912,0.57,0.641509434,0.518,0.380783881,0.452788379,0.557575758,0.64325052,0.775187644,0.544608696,0.514613351,0.48003817,0.545689357,0.119975985,0.299584009,0.314779772,0.638392498,0.164667638,0.399538106,0.543193502,0.341664824,0.457164519,0.268092963,0.528486293,0.393233954,0.720286885,0.367847411,0.57,01/01/2015 16:00,16,3,1,0.393233954,0.543193502,0.885828427
0.328050169,0.883515559,0.407314416,0.387741455,0.564,0.58490566,0.547,0.364085473,0.557675736,0.646702317,0.644107208,0.802805042,0.758130435,0.511354318,0.475042683,0.545750371,0.119242187,0.306916731,0.315106036,0.663121232,0.315323394,0.390300231,0.545652574,0.349826481,0.376042456,0.259296264,0.54624553,0.431580209,0.734118852,0.335149864,0.564,01/01/2015 17:00,17,3,1,0.431580209,0.545652574,0.883515559
0.32647787,0.85744323,0.427116396,0.38033663,0.562,0.58490566,0.5765,0.320968233,0.606426197,0.660962567,0.644229592,0.827126636,0.494217391,0.511613702,0.475881971,0.546340174,0.11844168,0.300289078,0.3154323,0.668747488,0.377984531,0.388279446,0.496335596,0.350307144,0.189537528,0.258427454,0.498092968,0.405303333,0.699795082,0.294277929,0.562,01/01/2015 18:00,18,3,1,0.405303333,0.496335596,0.85744323
0.325664612,0.870479394,0.472263016,0.38068538,0.56,0.58490566,0.607,0.313639826,0.59300751,0.570409982,0.647166809,0.82931582,0.351913043,0.509229044,0.472053438,0.545669019,0.117541109,0.307762815,0.318694943,0.630408573,0.372641333,0.377020785,0.521352296,0.353623718,0.19939348,0.258861859,0.378545888,0.329949644,0.566598361,0.291553134,0.56,01/01/2015 19:00,19,3,1,0.329949644,0.521352296,0.870479394
0.309128368,0.873633305,0.469989104,0.379810019,0.562,0.58490566,0.61,0.309213834,0.594607903,0.43030303,0.648268266,0.828882794,0.343913043,0.510438108,0.473203148,0.54627916,0.117974717,0.307833322,0.321631321,0.616342934,0.400590367,0.356235566,0.419068457,0.331099853,0.024260804,0.247458732,0.302264601,0.290724163,0.455430328,0.267029973,0.562,01/01/2015 20:00,20,3,1,0.290724163,0.419068457,0.873633305
0.27386912,0.859756098,0.473399972,0.3820673,0.572,0.58490566,0.589,0.278498515,0.586482827,0.356149733,0.648757802,0.817094881,0.326086957,0.507074485,0.468150175,0.546441864,0.115006171,0.314743002,0.325415987,0.537414601,0.372305048,0.269919169,0.32050227,0.310094883,0.012130402,0.23305821,0.242908224,0.477879466,0.483606557,0.25613079,0.572,01/01/2015 21:00,21,3,1,0.477879466,0.32050227,0.859756098
0.263278694,0.85765349,0.467762566,0.381120445,0.57,0.58490566,0.5475,0.242401158,0.54105626,0.300891266,0.646310121,0.764410123,0.304347826,0.507543049,0.470087435,0.543696231,0.112171042,0.314601988,0.325220228,0.513811119,0.396181295,0.237875289,0.238065272,0.308220297,0.013646702,0.230516942,0.211561383,0.524478459,0.411885246,0.223433243,0.57,01/01/2015 22:00,22,3,1,0.524478459,0.238065272,0.85765349
0.259338912,0.853658537,0.476242361,0.378757667,0.57,0.58490566,0.501,0.237034357,0.453650129,0.279857398,0.644841513,0.729912433,0.313043478,0.524758606,0.470714027,0.583335028,0.135719289,0.283226398,0.442414356,0.463174816,0.369988417,0.228493072,0.2191188,0.303586707,0.0030326,0.215095569,0.196543504,0.569368955,0.385758197,0.215258856,0.57,01/01/2015 23:00,23,3,1,0.569368955,0.2191188,0.853658537
0.25653769,0.858494533,0.476242361,0.37727025,0.57,0.58490566,0.4745,0.22209949,0.391234765,0.296613191,0.640435687,0.737442263,0.304347826,0.526139197,0.472611048,0.583335028,0.134785364,0.283719946,0.443784666,0.462906899,0.274371334,0.218533487,0.172396433,0.252367265,0.0,0.179843614,0.174851013,0.305051555,0.234887295,0.211171662,0.57,01/02/2015 00:00,0,6,2,0.305051555,0.172396433,0.858494533
0.258037699,0.852396972,0.476431854,0.375524759,0.57,0.58490566,0.468,0.204814504,0.349132094,0.29483066,0.635907478,0.738332371,0.295652174,0.52230701,0.467351127,0.583457056,0.134184984,0.283931467,0.444306688,0.462558607,0.307813025,0.219255196,0.079484176,0.252838315,0.0,0.179626412,0.162932062,0.129366158,0.178278689,0.209809264,0.57,01/02/2015 01:00,1,6,2,0.129366158,0.079484176,0.852396972
0.256844921,0.851555929,0.476621346,0.376114146,0.57,0.58490566,0.465,0.207633123,0.343715376,0.296613191,0.628564435,0.747089107,0.304347826,0.518449721,0.462614324,0.583762127,0.133984857,0.276598745,0.44411093,0.462906899,0.180099391,0.206408776,0.075214685,0.253251685,0.0,0.179843614,0.156495828,0.007713212,0.204405738,0.21253406,0.57,01/02/2015 02:00,2,6,2,0.007713212,0.075214685,0.851555929
0.257477455,0.893397813,0.476763466,0.374526464,0.56,0.58490566,0.4605,0.24102232,0.344577127,0.308377897,0.610451597,0.736071016,0.295652174,0.515127935,0.465068954,0.558319266,0.134785364,0.27695128,0.444176183,0.463362358,0.204909763,0.211027714,0.07469189,0.253616989,0.0030326,0.176259774,0.158045292,0.000559508,0.194159836,0.215258856,0.56,01/02/2015 03:00,3,6,2,0.000559508,0.07469189,0.893397813
0.253411165,0.908326325,0.476905585,0.375240528,0.484,0.58490566,0.464,0.286363983,0.352702204,0.306595365,0.587932934,0.74040127,0.330434783,0.513768261,0.463729542,0.558136224,0.135152263,0.270323627,0.444176183,0.462424648,0.222471322,0.24841224,0.075476082,0.254674447,0.119787718,0.179192007,0.171513707,0.032391495,0.201588115,0.222070845,0.484,01/02/2015 04:00,4,6,2,0.032391495,0.075476082,0.908326325
0.261760613,0.890033642,0.510587901,0.38325392,0.408,0.58490566,0.468,0.328776567,0.372153145,0.306951872,0.577163138,0.741267321,0.52173913,0.510835551,0.458055726,0.561125913,0.135519162,0.269900585,0.452920065,0.459343603,0.296043045,0.337615473,0.171825232,0.254905165,0.205458681,0.162576021,0.215137068,0.097234434,0.251536885,0.284741144,0.408,01/02/2015 05:00,5,6,2,0.097234434,0.171825232,0.890033642
0.277122151,0.844827586,0.473778957,0.382599143,0.42,0.58490566,0.49,0.391749829,0.393943124,0.314795009,0.564679966,0.724018476,0.77826087,0.513939789,0.462959237,0.557709126,0.137920683,0.268842981,0.452920065,0.459959812,0.363486904,0.386547344,0.196067421,0.289214885,0.340409401,0.184622068,0.317997616,0.107205659,0.380122951,0.403269755,0.42,01/02/2015 06:00,6,6,2,0.107205659,0.196067421,0.844827586
0.27741131,0.799201009,0.447865839,0.380639171,0.314,0.58490566,0.5155,0.408966253,0.451434199,0.406773619,0.541671766,0.736167244,0.791304348,0.515830781,0.465229913,0.557627774,0.140722458,0.26771487,0.452463295,0.470730074,0.325673504,0.373845266,0.333639911,0.283437317,0.417740713,0.193310165,0.46102503,0.121013508,0.612192623,0.414168937,0.314,01/02/2015 07:00,7,6,2,0.121013508,0.333639911,0.799201009
0.280989645,0.804037006,0.446918376,0.377124647,0.432,0.58490566,0.5415,0.412622838,0.520004924,0.499108734,0.519153102,0.744707467,0.782608696,0.521821711,0.466408365,0.582887592,0.140622394,0.26771487,0.451680261,0.497119893,0.354369839,0.36778291,0.435139557,0.293983061,0.360121304,0.198305821,0.482717521,0.200683399,0.691598361,0.427792916,0.432,01/02/2015 08:00,8,6,2,0.200683399,0.435139557,0.804037006
0.277917337,0.819596299,0.417831257,0.376858726,0.43,0.58490566,0.5895,0.395139788,0.560630309,0.527629234,0.495655367,0.73073037,0.562086957,0.529030072,0.475554304,0.582074071,0.141689737,0.274765564,0.454290375,0.490020094,0.397115421,0.365762125,0.453911764,0.314122838,0.278241092,0.201563858,0.405482718,0.230537127,0.703381148,0.41280654,0.43,01/02/2015 09:00,9,6,2,0.230537127,0.453911764,0.819596299
0.277483599,0.837888982,0.409967313,0.37851703,0.57,0.58490566,0.562,0.387026739,0.600763265,0.490196078,0.477664912,0.760224211,0.757043478,0.52980404,0.476554551,0.582094409,0.141556319,0.274765564,0.455203915,0.478981916,0.401711318,0.337413395,0.454328063,0.318862175,0.188779378,0.201998262,0.358164482,0.317600512,0.688268443,0.388283379,0.57,01/02/2015 10:00,10,6,2,0.317600512,0.454328063,0.837888982
0.279435418,0.867115223,0.393860439,0.375694774,0.568,0.58490566,0.5595,0.386379218,0.608272806,0.452406417,0.467017501,0.748556582,0.513043478,0.530644945,0.47584748,0.585592548,0.141723091,0.281816259,0.458270799,0.455458808,0.431042858,0.32448037,0.420830469,0.322284495,0.20015163,0.201346655,0.295589988,0.318699544,0.678790984,0.385558583,0.568,01/02/2015 11:00,11,6,2,0.318699544,0.420830469,0.867115223
0.277302875,0.879941127,0.393528827,0.373796705,0.568,0.58490566,0.5855,0.365521444,0.563461775,0.424955437,0.448292743,0.737875289,0.486956522,0.52623542,0.470047196,0.585612886,0.141556319,0.274836071,0.462055465,0.455860683,0.430669207,0.320438799,0.485598939,0.335579631,0.215314632,0.194178975,0.27067938,0.279474063,0.677254098,0.378746594,0.568,01/02/2015 12:00,12,6,2,0.279474063,0.485598939,0.879941127
0.275784794,0.878469302,0.392107632,0.379669647,0.568,0.58490566,0.608,0.406109545,0.496737659,0.407843137,0.449516583,0.751924557,0.52173913,0.531121877,0.476681019,0.584758689,0.141089357,0.274836071,0.466623165,0.449243135,0.426783246,0.323325635,0.513887948,0.342135874,0.222896133,0.191572546,0.284028605,0.334165934,0.639856557,0.351498638,0.568,01/02/2015 13:00,13,6,2,0.334165934,0.513887948,0.878469302
0.274140206,0.878889823,0.369652755,0.379971315,0.568,0.58490566,0.602,0.489830121,0.490828512,0.401782531,0.447803206,0.742566397,0.573913043,0.532038088,0.475709514,0.588826293,0.140388913,0.281886766,0.473735726,0.448573342,0.449538542,0.309180139,0.522998131,0.338367476,0.285064443,0.188748914,0.34398093,0.360862441,0.616290984,0.341961853,0.568,01/02/2015 14:00,14,6,2,0.360862441,0.522998131,0.878889823
0.278712522,0.848612279,0.348808565,0.379472604,0.57,0.58490566,0.5965,0.475737031,0.531084575,0.450623886,0.45698201,0.741820631,0.579130435,0.526720719,0.468132929,0.588846631,0.140055368,0.281816259,0.477455139,0.52158071,0.441953443,0.346564665,0.54646581,0.344673774,0.393479909,0.188748914,0.408581645,0.333726321,0.68954918,0.335149864,0.57,01/02/2015 15:00,15,6,2,0.333726321,0.54646581,0.848612279
0.298104205,0.830109336,0.389644228,0.381930416,0.566,0.58490566,0.607,0.478289023,0.601255694,0.542245989,0.458450618,0.79378368,0.686956522,0.528210084,0.471426847,0.58496207,0.139788533,0.281816259,0.476280587,0.53248493,0.424130329,0.35352194,0.609656214,0.336415985,0.365428355,0.188314509,0.527651967,0.412077372,0.753329918,0.36239782,0.566,01/02/2015 16:00,16,6,2,0.412077372,0.609656214,0.830109336
0.309453671,0.841463415,0.406651191,0.381951341,0.566,0.58490566,0.6495,0.453416622,0.672411671,0.623529412,0.474115775,0.846468437,0.582608696,0.530151279,0.474082676,0.58496207,0.140188786,0.281816259,0.475628059,0.542076356,0.522138774,0.341310624,0.58992555,0.351826038,0.339651251,0.185925282,0.534922527,0.397390297,0.74795082,0.352861035,0.566,01/02/2015 17:00,17,6,2,0.397390297,0.58992555,0.841463415
0.312652486,0.840412111,0.427211142,0.383647135,0.552,0.58490566,0.6565,0.684200503,0.674750708,0.609625668,0.492962918,0.839564088,0.434782609,0.532456449,0.477554798,0.583538408,0.140422267,0.281886766,0.476215334,0.515070328,0.5442215,0.333140878,0.585152627,0.353854436,0.257771039,0.183753258,0.464004768,0.375429622,0.723616803,0.282016349,0.552,01/02/2015 18:00,18,6,2,0.375429622,0.585152627,0.840412111
0.305947626,0.854499579,0.473399972,0.383965369,0.536,0.58490566,0.6645,0.355980041,0.639418934,0.479144385,0.503487945,0.837687644,0.342521739,0.525285741,0.468966469,0.58290793,0.139121444,0.281886766,0.466427406,0.474561286,0.580615028,0.335161663,0.503412688,0.353450679,0.19939348,0.175065161,0.366626937,0.29384142,0.50204918,0.284741144,0.536,01/02/2015 19:00,19,6,2,0.29384142,0.503412688,0.854499579
0.296694558,0.855340622,0.470652328,0.392691082,0.538,0.566037736,0.644,0.332905462,0.593499938,0.485561497,0.500061192,0.827848345,0.34226087,0.526829493,0.471288882,0.582155423,0.13782062,0.274836071,0.475628059,0.472471534,0.547173336,0.346160508,0.407383025,0.325168472,0.111448067,0.164205039,0.293206198,0.273938934,0.502561475,0.24386921,0.538,01/02/2015 20:00,20,6,2,0.273938934,0.407383025,0.855340622
0.288327038,0.853027754,0.473447345,0.397340785,0.536,0.566037736,0.622,0.327637693,0.594731011,0.439928699,0.498714968,0.764337952,0.313043478,0.532925013,0.480952189,0.578657284,0.135252326,0.281886766,0.470734095,0.443616879,0.538243097,0.271362587,0.349052676,0.295146266,0.075815011,0.160295395,0.245768772,0.484093997,0.472848361,0.235694823,0.536,01/02/2015 21:00,21,6,2,0.484093997,0.349052676,0.853027754
0.280646269,0.860176619,0.467809939,0.399447232,0.536,0.566037736,0.6035,0.282939743,0.561122738,0.422816399,0.499938808,0.751250962,0.330434783,0.529163947,0.476669522,0.577518355,0.132483906,0.281886766,0.469755302,0.435847287,0.522661884,0.262124711,0.312486083,0.299683724,0.021228203,0.164205039,0.223003576,0.531072656,0.403688525,0.226158038,0.536,01/02/2015 22:00,22,6,2,0.531072656,0.312486083,0.860176619
0.269911265,0.882674516,0.208110285,0.3975666,0.538,0.566037736,0.5655,0.238359869,0.552997661,0.365775401,0.497246359,0.740064473,0.304347826,0.542827619,0.473381353,0.620879009,0.167872986,0.255728689,0.536052202,0.455994642,0.369988417,0.256928406,0.183820468,0.294809802,0.0,0.167028671,0.203933254,0.495404044,0.42494877,0.219346049,0.538,01/02/2015 23:00,23,6,2,0.495404044,0.183820468,0.882674516
0.26535702,0.89255677,0.228812355,0.398189118,0.536,0.566037736,0.5465,0.205058277,0.497599409,0.335115865,0.494064374,0.752309469,0.295652174,0.542538949,0.473185902,0.620797657,0.167639505,0.248677995,0.541011419,0.465103818,0.219332661,0.241937067,0.083027563,0.281456985,0.0,0.174847958,0.185816448,0.322116537,0.27920082,0.215258856,0.536,01/03/2015 00:00,0,6,3,0.322116537,0.083027563,0.89255677
0.265537744,0.885197645,0.242597944,0.400436809,0.536,0.566037736,0.47,0.195513065,0.458328204,0.333333333,0.496756823,0.742301771,0.295652174,0.545454926,0.477514558,0.621367122,0.167906341,0.248677995,0.535008157,0.465050234,0.206030714,0.226377021,0.067227542,0.283437317,0.0,0.179409209,0.169249106,0.131344417,0.206711066,0.209809264,0.536,01/03/2015 01:00,1,6,3,0.131344417,0.067227542,0.885197645
0.264742559,0.880992431,0.243355915,0.400214481,0.538,0.566037736,0.4625,0.208025444,0.411793672,0.324064171,0.494431526,0.726736913,0.295652174,0.549960674,0.484878447,0.621448474,0.167372669,0.248677995,0.522479608,0.464434025,0.163845608,0.227193995,0.067237223,0.285350355,0.0,0.184622068,0.162574493,0.04012469,0.207735656,0.207084469,0.538,01/03/2015 02:00,2,6,3,0.04012469,0.067237223,0.880992431
0.267272694,0.873633305,0.243640153,0.396139343,0.536,0.566037736,0.4575,0.230083035,0.378554721,0.320499109,0.495777751,0.756230754,0.295652174,0.546927557,0.481688003,0.620797657,0.167539442,0.2416273,0.519673736,0.465103818,0.152785562,0.231812933,0.067605116,0.285859858,0.0,0.184187663,0.158164482,0.001958277,0.22079918,0.209809264,0.536,01/03/2015 03:00,3,6,3,0.001958277,0.067605116,0.873633305
0.274519726,0.859545837,0.229380833,0.395343322,0.536,0.566037736,0.4595,0.281964653,0.37018343,0.317647059,0.491739077,0.754161855,0.304347826,0.545191358,0.480153141,0.620675629,0.167739568,0.2416273,0.510016313,0.465237776,0.240443896,0.22517321,0.079551945,0.279063284,0.0,0.185273675,0.163289631,0.018044121,0.246157787,0.22479564,0.536,01/03/2015 04:00,4,6,3,0.018044121,0.079551945,0.859545837
0.286555943,0.866904962,0.260457625,0.398417549,0.538,0.566037736,0.461,0.284809934,0.382001724,0.31087344,0.486843716,0.743985758,0.304347826,0.537393109,0.469351621,0.618967235,0.167839632,0.2416273,0.516280587,0.466309444,0.250607182,0.256062356,0.140012199,0.27790008,0.005307051,0.187445699,0.185220501,0.057629286,0.272797131,0.260217984,0.538,01/03/2015 05:00,5,6,3,0.057629286,0.140012199,0.866904962
0.298266857,0.868797309,0.276848738,0.400407165,0.6,0.566037736,0.458,0.327588177,0.4105626,0.321212121,0.483172194,0.750601424,0.330434783,0.539095838,0.472559311,0.618153715,0.167839632,0.235704717,0.51451876,0.479651708,0.291783432,0.308314088,0.215798085,0.322188362,0.012130402,0.187880104,0.217878427,0.040164655,0.36039959,0.322888283,0.6,01/03/2015 06:00,6,6,3,0.040164655,0.215798085,0.868797309
0.307646432,0.875735913,0.273295751,0.405038559,0.608,0.566037736,0.483,0.360790737,0.471623784,0.346167558,0.479623057,0.73532525,0.351130435,0.539413793,0.473134165,0.617868982,0.170841533,0.235845731,0.507862969,0.506229069,0.332473938,0.334006928,0.307567939,0.320621401,0.038665656,0.190920938,0.313706794,0.018084086,0.413934426,0.332425068,0.608,01/03/2015 07:00,7,6,3,0.018084086,0.307567939,0.875735913
0.316285038,0.87195122,0.278648918,0.414949148,0.612,0.566037736,0.4945,0.379130799,0.532684969,0.414616756,0.482070738,0.739222479,0.444521739,0.541723145,0.476146404,0.616994448,0.170207798,0.235845731,0.513735726,0.52600134,0.401935508,0.344976905,0.395271611,0.326918085,0.028051554,0.181146829,0.354827175,0.107185677,0.55942623,0.337874659,0.612,01/03/2015 08:00,8,6,3,0.107185677,0.395271611,0.87195122
0.32082121,0.846089151,0.178075702,0.417110523,0.61,0.566037736,0.5165,0.401881618,0.57257171,0.472727273,0.486354179,0.744274442,0.486956522,0.546258179,0.479739246,0.621875572,0.170341216,0.242684904,0.521435563,0.529752177,0.443859059,0.335031755,0.422214907,0.357017198,0.027293404,0.184622068,0.302264601,0.212373112,0.598104508,0.352861035,0.61,01/03/2015 09:00,9,6,3,0.212373112,0.422214907,0.846089151
0.32512244,0.83999159,0.16964328,0.424238091,0.604,0.566037736,0.5235,0.428049059,0.575526283,0.458110517,0.495288214,0.75745766,0.351565217,0.548157538,0.482676753,0.622078952,0.168173176,0.243037439,0.520978793,0.531949096,0.39509771,0.341512702,0.377322322,0.358391894,0.037907506,0.191138141,0.248033373,0.225361682,0.586834016,0.317438692,0.604,01/03/2015 10:00,10,6,3,0.225361682,0.377322322,0.83999159
