InterconnectorLinks,To_Node,transmissionLifetime
HelgolanderBucht,Norfolk,40
HollandseeKust,Norfolk,40
Nordsoen,Norfolk,40
SorligeNordsjoI,Norfolk,40
SorligeNordsjoII,Norfolk,40
UtsiraNord,Norfolk,40
Borssele,OuterDowsing,40
EastAnglia,OuterDowsing,40
HelgolanderBucht,OuterDowsing,40
HollandseeKust,OuterDowsing,40
Nordsoen,OuterDowsing,40
Norfolk,OuterDowsing,40
SorligeNordsjoI,OuterDowsing,40
SorligeNordsjoII,OuterDowsing,40
UtsiraNord,OuterDowsing,40
Slovakia,Poland,40
Sweden,Poland,40
Serbia,Romania,40
SorligeNordsjoII,SorligeNordsjoI,40
France,Spain,40
Ireland,Spain,40
Portugal,Spain,40
France,Switzerland,40
Germany,Switzerland,40
Italy,Switzerland,40
SorligeNordsjoI,UtsiraNord,40
SorligeNordsjoII,UtsiraNord,40
