FromNode,ToNode,lineEfficiency
CzechR,Austria,0.97
Germany,Austria,0.97
Hungary,Austria,0.97
Italy,Austria,0.97
Slovakia,Austria,0.97
Slovenia,Austria,0.97
Switzerland,Austria,0.97
Borssele,Belgium,0.97
France,Belgium,0.97
Germany,Belgium,0.97
GreatBrit.,Belgium,0.97
HollandseeKust,Belgium,0.97
Luxemb.,Belgium,0.97
Netherlands,Belgium,0.97
Belgium,Borssele,0.97
DoggerBank,Borssele,0.97
EastAnglia,Borssele,0.97
FirthofForth,Borssele,0.97
HelgolanderBucht,Borssele,0.97
HollandseeKust,Borssele,0.97
Hornsea,Borssele,0.97
MorayFirth,Borssele,0.97
Netherlands,Borssele,0.97
Nordsoen,Borssele,0.97
Norfolk,Borssele,0.97
OuterDowsing,Borssele,0.97
SorligeNordsjoI,Borssele,0.97
SorligeNordsjoII,Borssele,0.97
UtsiraNord,Borssele,0.97
Croatia,BosniaH,0.97
Italy,BosniaH,0.97
Serbia,BosniaH,0.97
Greece,Bulgaria,0.97
Macedonia,Bulgaria,0.97
Romania,Bulgaria,0.97
Serbia,Bulgaria,0.97
BosniaH,Croatia,0.97
Hungary,Croatia,0.97
Italy,Croatia,0.97
Serbia,Croatia,0.97
Slovenia,Croatia,0.97
Austria,CzechR,0.97
Germany,CzechR,0.97
Poland,CzechR,0.97
Slovakia,CzechR,0.97
Germany,Denmark,0.97
GreatBrit.,Denmark,0.97
Netherlands,Denmark,0.97
NO2,Denmark,0.97
Nordsoen,Denmark,0.97
Poland,Denmark,0.97
Sweden,Denmark,0.97
Borssele,DoggerBank,0.97
EastAnglia,DoggerBank,0.97
FirthofForth,DoggerBank,0.97
GreatBrit.,DoggerBank,0.97
HelgolanderBucht,DoggerBank,0.97
HollandseeKust,DoggerBank,0.97
Hornsea,DoggerBank,0.97
MorayFirth,DoggerBank,0.97
Nordsoen,DoggerBank,0.97
Norfolk,DoggerBank,0.97
OuterDowsing,DoggerBank,0.97
SorligeNordsjoI,DoggerBank,0.97
SorligeNordsjoII,DoggerBank,0.97
UtsiraNord,DoggerBank,0.97
Borssele,EastAnglia,0.97
DoggerBank,EastAnglia,0.97
FirthofForth,EastAnglia,0.97
GreatBrit.,EastAnglia,0.97
HelgolanderBucht,EastAnglia,0.97
HollandseeKust,EastAnglia,0.97
Hornsea,EastAnglia,0.97
MorayFirth,EastAnglia,0.97
Nordsoen,EastAnglia,0.97
Norfolk,EastAnglia,0.97
OuterDowsing,EastAnglia,0.97
SorligeNordsjoI,EastAnglia,0.97
SorligeNordsjoII,EastAnglia,0.97
UtsiraNord,EastAnglia,0.97
Finland,Estonia,0.97
Latvia,Estonia,0.97
Sweden,Estonia,0.97
Estonia,Finland,0.97
NO4,Finland,0.97
Sweden,Finland,0.97
Borssele,FirthofForth,0.97
DoggerBank,FirthofForth,0.97
EastAnglia,FirthofForth,0.97
GreatBrit.,FirthofForth,0.97
HelgolanderBucht,FirthofForth,0.97
HollandseeKust,FirthofForth,0.97
Hornsea,FirthofForth,0.97
MorayFirth,FirthofForth,0.97
Nordsoen,FirthofForth,0.97
Norfolk,FirthofForth,0.97
OuterDowsing,FirthofForth,0.97
SorligeNordsjoI,FirthofForth,0.97
SorligeNordsjoII,FirthofForth,0.97
UtsiraNord,FirthofForth,0.97
Belgium,France,0.97
Germany,France,0.97
GreatBrit.,France,0.97
Ireland,France,0.97
Italy,France,0.97
Luxemb.,France,0.97
Spain,France,0.97
Switzerland,France,0.97
Austria,Germany,0.97
Belgium,Germany,0.97
CzechR,Germany,0.97
Denmark,Germany,0.97
France,Germany,0.97
HelgolanderBucht,Germany,0.97
Luxemb.,Germany,0.97
Netherlands,Germany,0.97
NO2,Germany,0.97
Poland,Germany,0.97
Sweden,Germany,0.97
Switzerland,Germany,0.97
Belgium,GreatBrit.,0.97
Denmark,GreatBrit.,0.97
DoggerBank,GreatBrit.,0.97
EastAnglia,GreatBrit.,0.97
FirthofForth,GreatBrit.,0.97
France,GreatBrit.,0.97
Hornsea,GreatBrit.,0.97
Ireland,GreatBrit.,0.97
MorayFirth,GreatBrit.,0.97
Netherlands,GreatBrit.,0.97
NO2,GreatBrit.,0.97
NO5,GreatBrit.,0.97
Norfolk,GreatBrit.,0.97
OuterDowsing,GreatBrit.,0.97
Bulgaria,Greece,0.97
Italy,Greece,0.97
Macedonia,Greece,0.97
Borssele,HelgolanderBucht,0.97
DoggerBank,HelgolanderBucht,0.97
EastAnglia,HelgolanderBucht,0.97
FirthofForth,HelgolanderBucht,0.97
Germany,HelgolanderBucht,0.97
HollandseeKust,HelgolanderBucht,0.97
Hornsea,HelgolanderBucht,0.97
MorayFirth,HelgolanderBucht,0.97
Netherlands,HelgolanderBucht,0.97
Nordsoen,HelgolanderBucht,0.97
Norfolk,HelgolanderBucht,0.97
OuterDowsing,HelgolanderBucht,0.97
SorligeNordsjoI,HelgolanderBucht,0.97
SorligeNordsjoII,HelgolanderBucht,0.97
UtsiraNord,HelgolanderBucht,0.97
Belgium,HollandseeKust,0.97
Borssele,HollandseeKust,0.97
DoggerBank,HollandseeKust,0.97
EastAnglia,HollandseeKust,0.97
