Nodes,StorageTypes,Period,InitialPowerCapacity
Austria,HydroPumpStorage,1,4218.0
BosniaH,HydroPumpStorage,1,335.0
Belgium,HydroPumpStorage,1,1308.0
Bulgaria,HydroPumpStorage,1,1054.0
Switzerland,HydroPumpStorage,1,1864.0
CzechR,HydroPumpStorage,1,1172.0
Germany,HydroPumpStorage,1,5294.0
Spain,HydroPumpStorage,1,6402.0
France,HydroPumpStorage,1,2455.0
GreatBrit.,HydroPumpStorage,1,2744.0
Greece,HydroPumpStorage,1,699.0
Croatia,HydroPumpStorage,1,281.0
Hungary,HydroPumpStorage,1,28.0
Ireland,HydroPumpStorage,1,292.0
Italy,HydroPumpStorage,1,8768.0
Lithuania,HydroPumpStorage,1,900.0
Luxemb.,HydroPumpStorage,1,1296.0
NO1,HydroPumpStorage,1,180.44
NO2,HydroPumpStorage,1,458.04
NO3,HydroPumpStorage,1,208.2
NO4,HydroPumpStorage,1,249.84
NO5,HydroPumpStorage,1,291.47999999999996
Poland,HydroPumpStorage,1,1776.0
Portugal,HydroPumpStorage,1,2820.0
Romania,HydroPumpStorage,1,357.0
Serbia,HydroPumpStorage,1,614.0
Sweden,HydroPumpStorage,1,100.0
Slovenia,HydroPumpStorage,1,180.0
Slovakia,HydroPumpStorage,1,1016.0
Austria,HydroPumpStorage,2,4218.0
BosniaH,HydroPumpStorage,2,335.0
Belgium,HydroPumpStorage,2,1308.0
Bulgaria,HydroPumpStorage,2,1054.0
Switzerland,HydroPumpStorage,2,1864.0
CzechR,HydroPumpStorage,2,1172.0
Germany,HydroPumpStorage,2,5294.0
Spain,HydroPumpStorage,2,6402.0
